,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,HumanEval,0.4878048780487805,0.5548780487804879,0.5365853658536586,0.5365853658536586,0.4329268292682927
1,gpt-4o,llama3-8b,internal state,2/3,HumanEval,0.4573170731707317,0.6280487804878049,0.4878048780487805,0.4878048780487805,0.4878048780487805
2,gpt-4o,llama3-8b,internal state,3/4,HumanEval,0.4268292682926829,0.6341463414634146,0.38414634146341464,0.39634146341463417,0.4634146341463415
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.47560975609756095,0.524390243902439,0.524390243902439,0.524390243902439,0.4451219512195122
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.5426829268292683,0.5548780487804879,0.4878048780487805,0.5060975609756098,0.4573170731707317
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.5426829268292683,0.5548780487804879,0.4451219512195122,0.4573170731707317,0.4573170731707317
6,gpt-4o,llama3.1-8b,internal state,1/2,HumanEval,0.39634146341463417,0.5365853658536586,0.4878048780487805,0.47560975609756095,0.49390243902439024
7,gpt-4o,llama3.1-8b,internal state,2/3,HumanEval,0.5121951219512195,0.4146341463414634,0.47560975609756095,0.47560975609756095,0.49390243902439024
8,gpt-4o,llama3.1-8b,internal state,3/4,HumanEval,0.5060975609756098,0.573170731707317,0.4451219512195122,0.47560975609756095,0.47560975609756095
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.4878048780487805,0.3170731707317073,0.39634146341463417,0.38414634146341464,0.3353658536585366
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.4634146341463415,0.5548780487804879,0.4268292682926829,0.4268292682926829,0.3231707317073171
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.47560975609756095,0.5548780487804879,0.4146341463414634,0.4451219512195122,0.3170731707317073
12,gpt-4o,mistral-nemo-12b,internal state,1/2,HumanEval,0.4451219512195122,0.4268292682926829,0.4878048780487805,0.4451219512195122,0.47560975609756095
13,gpt-4o,mistral-nemo-12b,internal state,2/3,HumanEval,0.4024390243902439,0.4024390243902439,0.4451219512195122,0.4268292682926829,0.49390243902439024
14,gpt-4o,mistral-nemo-12b,internal state,3/4,HumanEval,0.4146341463414634,0.4146341463414634,0.4573170731707317,0.4146341463414634,0.4451219512195122
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.47560975609756095,0.4451219512195122,0.4268292682926829,0.4146341463414634,0.5060975609756098
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.4329268292682927,0.39634146341463417,0.4024390243902439,0.39634146341463417,0.4329268292682927
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.4329268292682927,0.39634146341463417,0.39634146341463417,0.39634146341463417,0.4451219512195122
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.3231707317073171,0.25609756097560976,0.3048780487804878,0.24390243902439024,0.2926829268292683
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.2926829268292683,0.21341463414634146,0.3353658536585366,0.3170731707317073,0.3048780487804878
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.24390243902439024,0.21341463414634146,0.27439024390243905,0.27439024390243905,0.22560975609756098
