,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,HumanEval,1.0,0.9939024390243902,1.0,1.0,1.0
1,gpt-4o,llama3-8b,internal state,2/3,HumanEval,1.0,1.0,1.0,1.0,1.0
2,gpt-4o,llama3-8b,internal state,3/4,HumanEval,0.9939024390243902,1.0,1.0,0.9939024390243902,1.0
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.9939024390243902,0.9939024390243902,0.9939024390243902,1.0,1.0
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,1.0,0.9939024390243902,1.0,1.0,1.0
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,1.0,0.9939024390243902,0.9939024390243902,1.0,1.0
6,gpt-4o,llama3.1-8b,internal state,1/2,HumanEval,0.9695121951219512,0.9939024390243902,0.8475609756097561,0.9695121951219512,1.0
7,gpt-4o,llama3.1-8b,internal state,2/3,HumanEval,0.9878048780487805,0.9878048780487805,1.0,0.9878048780487805,1.0
8,gpt-4o,llama3.1-8b,internal state,3/4,HumanEval,0.9573170731707317,0.9878048780487805,1.0,0.9878048780487805,1.0
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,0.9878048780487805,0.9878048780487805,1.0,0.9878048780487805,1.0
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,0.9878048780487805,0.975609756097561,0.975609756097561,0.9451219512195121,0.9085365853658537
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,0.9878048780487805,0.975609756097561,0.975609756097561,0.9451219512195121,0.8292682926829268
12,gpt-4o,mistral-nemo-12b,internal state,1/2,HumanEval,1.0,0.9695121951219512,1.0,0.9939024390243902,1.0
13,gpt-4o,mistral-nemo-12b,internal state,2/3,HumanEval,0.9878048780487805,0.9939024390243902,1.0,0.9878048780487805,1.0
14,gpt-4o,mistral-nemo-12b,internal state,3/4,HumanEval,0.9878048780487805,0.9573170731707317,1.0,0.9695121951219512,1.0
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.9695121951219512,0.9390243902439024,1.0,0.9878048780487805,1.0
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,0.9146341463414634,0.9573170731707317,0.9939024390243902,0.9451219512195121,1.0
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,0.9146341463414634,0.9573170731707317,0.9878048780487805,0.9451219512195121,1.0
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.9878048780487805,1.0,1.0,1.0,1.0
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.9390243902439024,0.9573170731707317,1.0,0.9573170731707317,1.0
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.9451219512195121,1.0,1.0,0.9939024390243902,1.0
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.9878048780487805,0.9939024390243902,0.9451219512195121,0.9878048780487805,1.0
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,0.7987804878048781,0.975609756097561,0.8292682926829268,0.9939024390243902,0.9146341463414634
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,0.7865853658536586,0.9878048780487805,0.7682926829268293,0.9939024390243902,1.0
24,gpt-4o,phi4-14b,internal state,1/2,HumanEval,0.9878048780487805,0.975609756097561,1.0,0.9878048780487805,0.9878048780487805
25,gpt-4o,phi4-14b,internal state,2/3,HumanEval,1.0,1.0,1.0,0.9939024390243902,1.0
26,gpt-4o,phi4-14b,internal state,3/4,HumanEval,1.0,0.926829268292683,1.0,0.9939024390243902,1.0
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.9939024390243902,0.9939024390243902,0.9939024390243902,0.9878048780487805,1.0
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,0.975609756097561,0.9573170731707317,0.975609756097561,0.9695121951219512,0.975609756097561
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,0.975609756097561,0.9573170731707317,0.926829268292683,0.9878048780487805,0.9695121951219512
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,HumanEval,0.9878048780487805,0.9939024390243902,1.0,0.9939024390243902,1.0
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,HumanEval,1.0,1.0,1.0,1.0,1.0
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,HumanEval,0.9939024390243902,1.0,1.0,1.0,1.0
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,HumanEval,0.9878048780487805,1.0,1.0,0.9878048780487805,1.0
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,HumanEval,0.9695121951219512,0.9878048780487805,0.975609756097561,0.9695121951219512,1.0
35,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,HumanEval,0.9695121951219512,0.9878048780487805,0.975609756097561,0.9695121951219512,1.0
36,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,HumanEval,0.9573170731707317,0.9939024390243902,1.0,0.9451219512195121,1.0
37,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,HumanEval,1.0,1.0,1.0,1.0,1.0
38,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,HumanEval,0.9878048780487805,0.9695121951219512,1.0,0.9878048780487805,1.0
39,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,HumanEval,1.0,0.9878048780487805,1.0,1.0,0.9390243902439024
40,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,HumanEval,1.0,0.9878048780487805,1.0,1.0,1.0
41,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,HumanEval,1.0,0.9878048780487805,1.0,1.0,1.0
42,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,HumanEval,0.9695121951219512,0.9878048780487805,1.0,0.975609756097561,1.0
43,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,HumanEval,0.9573170731707317,1.0,1.0,1.0,1.0
44,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,HumanEval,0.9573170731707317,1.0,1.0,1.0,1.0
45,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,HumanEval,0.9939024390243902,0.9878048780487805,0.9939024390243902,0.9939024390243902,1.0
46,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,HumanEval,1.0,1.0,0.9878048780487805,1.0,1.0
47,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,HumanEval,1.0,1.0,0.9878048780487805,1.0,1.0
48,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,HumanEval,0.9878048780487805,0.9939024390243902,1.0,0.9878048780487805,1.0
49,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,2/3,HumanEval,0.9085365853658537,0.975609756097561,1.0,0.9085365853658537,1.0
50,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,3/4,HumanEval,0.926829268292683,0.8658536585365854,1.0,0.8536585365853658,1.0
51,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,HumanEval,0.8841463414634146,0.9573170731707317,0.9878048780487805,0.8780487804878049,1.0
52,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,HumanEval,1.0,0.8780487804878049,0.9878048780487805,0.9878048780487805,1.0
53,gemini-2.5-flash-lite,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,HumanEval,1.0,0.8841463414634146,0.9939024390243902,0.9878048780487805,1.0
54,gemini-2.5-flash-lite,phi4-14b,internal state,1/2,HumanEval,0.9939024390243902,1.0,1.0,0.9939024390243902,1.0
55,gemini-2.5-flash-lite,phi4-14b,internal state,2/3,HumanEval,0.975609756097561,1.0,1.0,0.975609756097561,1.0
56,gemini-2.5-flash-lite,phi4-14b,internal state,3/4,HumanEval,0.9878048780487805,1.0,1.0,0.9878048780487805,1.0
57,gemini-2.5-flash-lite,phi4-14b,prompt embedding,nomic-embed-text,HumanEval,0.9939024390243902,1.0,0.9939024390243902,0.9878048780487805,1.0
58,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-large,HumanEval,1.0,0.9878048780487805,0.9878048780487805,1.0,1.0
59,gemini-2.5-flash-lite,phi4-14b,prompt embedding,text-embedding-3-small,HumanEval,1.0,0.9878048780487805,0.9878048780487805,1.0,1.0
60,gpt-4o,llama3-8b,internal state,1/2,APPS,0.9766666666666667,0.9866666666666667,1.0,0.9666666666666667,1.0
61,gpt-4o,llama3-8b,internal state,2/3,APPS,0.9566666666666667,0.9366666666666666,1.0,0.9266666666666666,1.0
62,gpt-4o,llama3-8b,internal state,3/4,APPS,0.9666666666666667,0.9766666666666667,1.0,0.9566666666666667,1.0
63,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,APPS,0.9966666666666667,0.9766666666666667,0.9666666666666667,0.9966666666666667,0.9766666666666667
64,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,APPS,0.9766666666666667,0.9766666666666667,0.9966666666666667,0.9666666666666667,1.0
65,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,APPS,0.9766666666666667,0.9666666666666667,0.9866666666666667,0.9666666666666667,1.0
66,gpt-4o,llama3.1-8b,internal state,1/2,APPS,0.8866666666666667,0.9066666666666666,1.0,0.9166666666666666,1.0
67,gpt-4o,llama3.1-8b,internal state,2/3,APPS,0.8666666666666667,0.8966666666666666,1.0,0.8566666666666667,0.95
68,gpt-4o,llama3.1-8b,internal state,3/4,APPS,0.9066666666666666,0.9066666666666666,1.0,0.8666666666666667,1.0
69,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,APPS,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,1.0
70,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,APPS,0.9966666666666667,0.9966666666666667,0.9766666666666667,0.9966666666666667,1.0
71,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,APPS,0.9966666666666667,0.9966666666666667,0.9666666666666667,0.9966666666666667,1.0
72,gpt-4o,mistral-nemo-12b,internal state,1/2,APPS,0.9566666666666667,0.9866666666666667,1.0,0.9566666666666667,1.0
73,gpt-4o,mistral-nemo-12b,internal state,2/3,APPS,0.9166666666666666,0.9666666666666667,1.0,0.9466666666666667,1.0
74,gpt-4o,mistral-nemo-12b,internal state,3/4,APPS,0.9566666666666667,0.9666666666666667,1.0,0.9566666666666667,1.0
75,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,APPS,0.9966666666666667,0.9966666666666667,0.9766666666666667,0.9966666666666667,0.9766666666666667
76,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,APPS,0.9666666666666667,0.9566666666666667,0.9666666666666667,0.9666666666666667,1.0
77,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,APPS,0.9666666666666667,0.9566666666666667,0.9666666666666667,0.9666666666666667,1.0
78,gpt-4o,qwen2.5-coder-7b,internal state,1/2,APPS,0.9666666666666667,0.9766666666666667,1.0,0.9466666666666667,1.0
79,gpt-4o,qwen2.5-coder-7b,internal state,2/3,APPS,0.8866666666666667,0.9866666666666667,1.0,0.8866666666666667,1.0
80,gpt-4o,qwen2.5-coder-7b,internal state,3/4,APPS,0.8866666666666667,0.9866666666666667,1.0,0.9066666666666666,1.0
81,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,APPS,0.9966666666666667,0.9866666666666667,0.9766666666666667,0.9966666666666667,1.0
82,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,APPS,0.9866666666666667,0.9966666666666667,0.9566666666666667,0.9866666666666667,1.0
83,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,APPS,0.9866666666666667,0.9966666666666667,0.9466666666666667,0.9866666666666667,1.0
84,gpt-4o,phi4-14b,internal state,1/2,APPS,0.9666666666666667,0.9266666666666666,1.0,0.9766666666666667,0.8666666666666667
85,gpt-4o,phi4-14b,internal state,2/3,APPS,0.8966666666666666,0.9666666666666667,1.0,0.9466666666666667,1.0
86,gpt-4o,phi4-14b,internal state,3/4,APPS,0.8766666666666667,0.9666666666666667,1.0,0.9266666666666666,1.0
87,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,APPS,0.9966666666666667,0.9866666666666667,0.9866666666666667,0.9966666666666667,0.9766666666666667
88,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,APPS,0.9366666666666666,0.9666666666666667,0.9566666666666667,0.9766666666666667,1.0
89,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,APPS,0.9466666666666667,0.9666666666666667,0.9366666666666666,0.9766666666666667,1.0
90,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,APPS,0.11333333333333333,0.10333333333333333,1.0,0.16333333333333333,0.07333333333333333
91,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,APPS,0.08333333333333333,0.09333333333333334,0.21333333333333335,0.09333333333333334,0.38333333333333336
92,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,APPS,0.07333333333333333,0.09333333333333334,1.0,0.09333333333333334,0.13333333333333333
93,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,APPS,0.49333333333333335,0.15333333333333332,0.5666666666666667,0.3233333333333333,0.41333333333333333
94,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,APPS,0.29333333333333333,0.20333333333333334,0.36333333333333334,0.20333333333333334,0.18333333333333332
95,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,APPS,0.29333333333333333,0.20333333333333334,0.37333333333333335,0.19333333333333333,0.3233333333333333
96,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,APPS,0.3333333333333333,0.31333333333333335,1.0,0.3333333333333333,0.6666666666666666
97,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,APPS,0.23333333333333334,0.3333333333333333,0.45666666666666667,0.29333333333333333,0.8866666666666667
98,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,APPS,0.3233333333333333,0.38333333333333336,1.0,0.3433333333333333,0.9466666666666667
99,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,APPS,0.9866666666666667,0.9366666666666666,0.9866666666666667,0.9766666666666667,0.9466666666666667
100,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,APPS,0.6166666666666667,0.8066666666666666,0.6866666666666666,0.5766666666666667,0.8066666666666666
101,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-small,APPS,0.6266666666666667,0.7966666666666666,0.7166666666666667,0.5766666666666667,0.7966666666666666
102,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,1/2,APPS,0.023333333333333334,0.03333333333333333,0.07333333333333333,0.03333333333333333,0.043333333333333335
103,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,2/3,APPS,0.03333333333333333,0.043333333333333335,0.07333333333333333,0.05333333333333334,0.043333333333333335
104,gemini-2.5-flash-lite,mistral-nemo-12b,internal state,3/4,APPS,0.023333333333333334,0.03333333333333333,0.06333333333333334,0.043333333333333335,0.03333333333333333
105,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,nomic-embed-text,APPS,0.12333333333333334,0.12333333333333334,0.13333333333333333,0.13333333333333333,0.18333333333333332
106,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-large,APPS,0.06333333333333334,0.05333333333333334,0.08333333333333333,0.07333333333333333,0.043333333333333335
107,gemini-2.5-flash-lite,mistral-nemo-12b,prompt embedding,text-embedding-3-small,APPS,0.06333333333333334,0.05333333333333334,0.16333333333333333,0.06333333333333334,0.03333333333333333
108,gemini-2.5-flash-lite,qwen2.5-coder-7b,internal state,1/2,APPS,0.6366666666666667,0.8566666666666667,0.43666666666666665,0.7366666666666667,0.5366666666666666
